SNO,SENDER_MAIL,CATEGORY,STATUS,SUBJECT,CONTENT
1,care@emaila.1mg.com,I,R,₹  75 1 mg Cash Expires Tomorrow: Redeem it & also get 15  % off on medicines,Use Code: FREEBIE and get 15  % off on medicines and an assured free gift. Save 15  % on lab tests and more. Earn cashback with our wallet partneRs. 
2,noreply@quora.com,I,R,"What should I choose, 13 LPA at current job in Gurgaon or 20 LPA offer in Bangalore   ?  ","Quora Your's Digest
TOP STORIES FOR YOU
What should I choose, 13 LPA at current job in Gurgaon or 20 LPA offer in Bangalore  ?   Gurgaon is near to my hometown and I am a north Indian.
Manish Gupta, Worked in PSU for 10 years, Updated Oct 15
Hi Buddy,It's a natural question that arises in one's mind.While choosing Job Location, consider the following points:
Your Age- If you are a starter then you must explore this
How is life in Chennai  ?  
Janvi Parikh, Developer at ThoughtWorks, Written Oct 7, 2014
Why did Modi and Amit Shah magic not work in the Delhi Assembly Election 2020  ?  
Rajagopalan K Suryanarayan, Political analyst, Written Feb 11
In your salary, can you buy an Apple iPhone, the latest model  ?  
Jatin Srivastava, Updated Oct 26
Why is China furious with the Indian international news channel WION  ?  
Bala Senthil Kumar, Written Jul 12 
How did Arvind Kejriwal win the Delhi Assembly Election once more  ?  
Rahul Ahir knows Gujarati, Updated Nov 25 
Are IIFTs better than IIMs  ?  
Mayank Jain, MBA Master of Business Administration Degrees, Indian Institute of Foreign Trade, Written Dec 19, 2018
Can I purchase an iPhone 12 from Dubai instead of India  ?   Does it create any problems  ?  
Ashutosh R Joshi, Using Apple products since 2009/2010, Updated Dec 1
Is the 49.8 LPA salary in Delhi too low for a 26-year-old software engineer  ?  
Sapna Joshi, lives in New Delhi, Written Dec 10
Is it Modi vs. Kejriwal in the Lok Sabha elections in 2024  ?  
Shubham Bhatt, studied at Electrical and Electronics Engineering (2016), Written Feb 11"
3,newsletters@shabd-kosh.in,I,R,Trade and Invest With ShareKhan_Demat. Open Demat Account Today.,YoAdsMedia/Sharekhan Diy
4,digibankconnect@dbs.com,I,R,"Don't Miss Out   !   Amazon vouchers up to Rs.  2500 - now is the time to Live it up   !  
","Welcome to digiBank
You are eligible for Amazon vouchers up to Rs.  2,500*  
Choose a level from 5 levels shared below & spend using your digibank Debit Card before 31 January 2021 to get Amazon vouchers worth up to ₹ 2,500*.
Offer timeline: 29 December 2020 to 31 January 2021
Levels Spends Get an Amazon Gift Voucher worth AMB range
Level 1 ₹ 500 or more ₹ 250 ₹ 25,000-₹ 49,999
Level 2 ₹ 1,000 or more ₹ 500 ₹ 50,000-₹ 99,999
Level 3 ₹ 1,500 or more ₹ 750 ₹ 100,000-₹ 199,999
Level 4 ₹ 2,000 or more ₹ 1,000 ₹ 200,000-₹ 499,999
Level 5 ₹ 5,000 or more ₹ 2,500 ₹ 500,000+
 Go ahead, add more to your cart this holiday season
Welcome to digiBank
*T&Cs Apply
Note: Dear customer, DBS Bank India Limited or our partners will never ask for your Debit Card number, Expiry date, Card Verification Value (CVV), One Time Passwords (OTP), UPI PIN and ATM PIN. Do not share such information with anyone, even if they claim to be from DBS Bank, RBI, Income Tax department or other regulatory bodies etc. Please do not click on any links or attachments received from unknown sources. We also recommend not to store any important banking data on the mobile, email or wallet (physical/electronic)
Save with the Safest, Bank with the Best.
Welcome to digiBank Welcome to digiBank Welcome to digiBank"
5,nfo@f1macrotechnologies.com,I,R,"Join Today Sat 3 pm - Free Demo Session on Certified Course in E - Accounting, Taxation & Analytics. 100  % Job + Self Employment Guaranteed Course. Qualified Professional Trainer. Year End OffeRs. ","Dear Student, Join IT Professional Training Institute that provides 100 % Job or Self Employment Guaranteed  for Master Certified Training Program on E - ACCOUNTING & ANALYTICS. More than 5 Lac + Vacancies in India by 2021
Why we only:
Training from working in MNC's Trainers/ CA/ CS, etc.
India's first course on Company Registrations & Licenses.
Latest Contents with Live Projects & Assignments on each Topic. 
Compare our content & Hours of Teaching with other our competitoRs. 
Get Referrals & Placement Assistance in MNC's all over India
Attend Online Live Demo Class - Scheduled Saturday -  26th Nov 03.00 PM.
RESERVE YOUR SEAT FOR SATURDAY DEMO CLASS"
6,newsletters@shabd-kosh.in,I,R,Get Up to 20 % Extra on Your Gold Price.,"Your Gold is Worth More Than You Think
Sell or exchange your gold jewellery, bars and coins at a Purity Verification Centre in your city  !  
Best value for your gold
Advanced purity-verification technology
No hidden charges
Zero transaction fee BUY NOW"
7,newsletter@beta1.mindspry.in,I,R,"Apply Online For JSO & Jr Environmental Engineer Posts, Apply Now",Rajasthan State Pollution Control Board (RSPCB) has
8,newsletters@shabd-kosh.in,I,R,Sell Your Car At The Best Value From The Comfort Of Home.,"Sell car your way  !  
Book appointment for car inspection at home or nearest CARS24 branch
Sell Car in 3 Easy Steps
Book Appointment
Enter your car details and book an appointment for car inspection at your home or the nearest CARS24 branch
Free Inspection
Drive to CARS24 branch or our experts will come over for free car inspection and get final offer for your car.
Sell Car
Once you accept our offer, we transfer the money instantly and take care of RC transfer for free  !  
SELL CAR"
9,reminders@training.shawacademy.com,I,R,Smartphone Friendly Courses  !  ,"Our smartphones are the perfect tool for fun and business, designed to fit into your busy life.
With the introduction of the Shaw Academy app, education has never been more accessible on your phone. With all the fantastic services and support that Shaw Academy provides, you have the perfect opportunity to learn where you want, when you want.
But we also have some fantastic courses designed for you to get the most out of your Smartphone, in your personal or professional life. Whether it’s taking professional quality photos, building tour own app or trading stocks, take a look at what you can achieve with your iPhone or Android.
IPhone & Android Photography
Learn how to take high quality, amazing shots using iPhones or Android devices, and take your photography skills to a new level.
Mobile App Development
Become a mobile app developer and gain proficiency in all aspects of mobile applications from design to building and publishing apps for iOS and Android.
How To Trade Stocks
Learn how to confidently and successfully trade stocks with a focus on both the technical and fundamental aspects of trading and investment.
View Our Course Catalogue 
Take your classroom with you. Download the app today."
10,noreply@quora.com,I,R,Al Musbah Group and others just revealed these job openings  !  ,"Your Jobs per Country
India 7838 Jobs, United Arab Emirates 4587 Jobs, Saudi Arabia 4562 Jobs, Egypt 1593 Jobs, Jobs per City 1357 Jobs, Bengaluru 533 Jobs, Chennai 516 Jobs, Pune 445 Jobs , 
Latest jobs on Bayt.com based on Your Location:
Nielsen Briefer Nielsen India, General Electric Lead Engineer - Product Structure & Analysis General Electric India, General Electric Build and Release Engineer General Electric India, Societe General Bank Fund Administration-SDM- Associate Societe General Bank India, SAP Developer Associate – ABAP SAP India
Jobs per Job Role
3475 Maintenance, Repair, and Technician, 1093 Information Technology, 907 Marketing and PR, 493 Management, 
Latest jobs on Bayt.com based on Career Level: Student/Internship
1 Mid Career, 14 Management, 2 Fresh Graduate"
